iter	Passed	Remaining
405	8493	12426
406	8518	12411
407	8545	12399
408	8570	12384
409	8605	12383
410	8626	12363
411	8651	12347
412	8676	12331
413	8703	12318
414	8729	12305
415	8754	12289
416	8781	12277
417	8808	12263
418	8832	12247
419	8858	12232
420	8885	12220
421	8907	12200
422	8930	12181
423	8956	12167
424	8981	12151
425	9006	12136
426	9033	12122
427	9058	12106
428	9084	12091
429	9109	12075
430	9133	12057
431	9156	12039
432	9181	12023
433	9207	12007
434	9230	11988
435	9253	11969
436	9277	11952
437	9301	11935
438	9324	11915
439	9349	11899
440	9374	11882
441	9399	11865
442	9423	11848
443	9448	11832
444	9477	11819
445	9500	11801
446	9526	11785
447	9551	11768
448	9572	11746
449	9597	11730
450	9622	11712
451	9645	11694
452	9667	11673
453	9693	11658
454	9718	11640
455	9744	11625
456	9767	11605
457	9791	11587
458	9815	11568
459	9840	11551
460	9862	11531
461	9886	11513
462	9909	11493
463	9935	11476
464	9960	11459
465	9986	11443
466	10012	11427
467	10036	11408
468	10061	11391
469	10086	11373
470	10111	11356
471	10135	11338
472	10160	11320
473	10184	11301
474	10209	11283
475	10236	11268
476	10261	11251
477	10288	11235
478	10314	11218
479	10338	11199
480	10361	11180
481	10387	11163
482	10410	11143
483	10435	11125
484	10461	11108
485	10486	11090
486	10512	11073
487	10540	11059
488	10565	11040
489	10589	11021
490	10613	11003
491	10637	10983
492	10662	10965
493	10687	10947
494	10713	10930
495	10738	10911
496	10763	10893
497	10789	10875
498	10810	10853
499	10833	10833
500	10856	10813
501	10879	10793
502	10903	10773
503	10930	10756
504	10954	10737
505	10976	10716
506	11002	10698
507	11028	10680
508	11049	10658
509	11074	10640
510	11098	10620
511	11124	10603
512	11150	10584
513	11173	10565
514	11198	10546
515	11222	10526
516	11245	10506
517	11272	10489
518	11298	10470
519	11324	10453
520	11348	10433
521	11373	10414
522	11401	10398
523	11425	10378
524	11450	10360
525	11475	10341
526	11499	10321
527	11525	10303
528	11549	10283
529	11574	10264
530	11598	10244
531	11623	10225
532	11647	10205
533	11672	10185
534	11697	10167
535	11722	10147
536	11749	10130
537	11775	10112
538	11802	10094
539	11829	10077
540	11854	10057
541	11880	10039
542	11905	10019
543	11930	10000
544	11954	9980
545	11976	9958
546	11997	9936
547	12022	9916
548	12045	9895
549	12069	9874
550	12094	9855
551	12117	9834
552	12144	9816
553	12169	9796
554	12194	9777
555	12219	9757
556	12244	9738
557	12265	9715
558	12293	9698
559	12319	9679
560	12341	9657
561	12365	9637
562	12387	9615
563	12410	9594
564	12435	9573
565	12459	9554
566	12484	9533
567	12511	9515
568	12529	9490
569	12549	9466
570	12573	9446
571	12595	9424
572	12621	9405
573	12644	9384
574	12668	9363
575	12690	9341
576	12720	9325
577	12746	9306
578	12774	9288
579	12795	9265
580	12820	9246
581	12848	9228
582	12876	9210
583	12899	9188
584	12925	9169
585	12953	9151
586	12977	9130
587	13003	9111
588	13028	9091
589	13053	9070
590	13077	9050
591	13102	9029
592	13127	9009
593	13154	8990
594	13178	8970
595	13204	8950
596	13233	8932
597	13259	8913
598	13283	8892
599	13308	8872
600	13335	8853
601	13360	8832
602	13385	8812
603	13411	8792
604	13435	8771
605	13460	8751
606	13484	8730
607	13508	8709
608	13534	8689
609	13559	8668
610	13584	8648
611	13610	8628
612	13633	8607
613	13654	8583
614	13677	8562
615	13702	8541
616	13725	8519
617	13749	8498
618	13773	8477
619	13796	8456
620	13819	8433
621	13844	8413
622	13865	8390
623	13888	8368
624	13911	8347
625	13949	8334
626	13975	8313
627	14002	8294
628	14030	8275
